New York,75910,78630,77400,81840,77760,72570,73630,73720,70210,65690,61300,66050,59200,64090,64960,66430,66480,66850,67550,68010,66230,65060,65140,66180,65470
North Carolina,65070,67820,68120,69660,61690,58420,59360,64510,61490,56590,56850,50550,51600,57210,57200,55440,56560,59430,55750,60620,59680,56680,56670,59970,61570
North Dakota,78720,74280,72270,79760,76870,70950,70610,72210,69500,73460,72570,64880,69240,71330,66560,66240,65390,64470,57500,60820,58170,61440,56190,56250,57840
Ohio,67520,67600,68060,73650,71240,71560,70480,64770,64520,60050,62260,56920,55100,56510,59880,60690,61840,67060,64300,63720,63860,66170,66250,65660,69030
Oklahoma,63440,64800,59150,67650,62920,61180,64860,61120,56990,57090,56630,53710,60110,61330,56250,60690,60750,59030,54410,54270,58760,54590,56590,55960,52110
Oregon,86780,88260,86630,84760,79950,73690,76180,70950,73640,71220,60110,69080,64290,65210,66030,64950,68150,68610,65970,63660,60810,63310,64880,64860,68290
Pennsylvania,72210,78310,79800,80390,74580,72260,74490,73170,73100,66740,67670,66190,64450,63170,63050,63720,67720,66160,67910,66740,65420,65280,65960,68360,67770
Rhode Island,80650,80850,90380,79900,71970,77120,78280,73830,67430,70920,69100,70920,69610,62060,67370,68300,70150,74040,75280,71330,71100,67980,65840,71850,67810
South Carolina,61770,67440,68020,70650,66400,64310,64820,65200,56120,54350,53440,53670,55130,50730,54410,54370,55540,60390,55500,57990,57390,58500,58690,59300,60370
South Dakota,67180,79680,79120,73190,68730,67110,67090,68930,66660,64170,65530,66800,61360,59770,59180,60620,67980,63400,63640,62200,60970,60090,58780,62340,58610
Tennessee,65380,67030,61970,64500,64800,65210,65140,61610,57290,52880,53200,52140,53390,53510,50360,53600,52310,56270,57010,56800,56470,57050,57470,56230,54790
Texas,74640,72680,77110,76820,69100,70860,69920,69770,68360,65170,63070,65050,64480,62080,61680,62800,61250,62900,60670,59710,61400,59710,62320,64210,62040
Utah,95800,94510,94680,96270,89080,82290,84100,80970,80200,76670,74890,77250,72440,70230,73990,77370,82390,73110,76530,79010,75460,74920,74280,74400,76410
Vermont,72190,82040,75810,84630,80990,75090,75240,73000,72020,73430,80370,67280,69010,65640,72980,69210,66810,64730,72820,73090,70200,65770,66740,64110,63620
Virginia,85170,86550,92670,92610,89180,83500,84060,79730,74430,80020,80850,82960,80250,79250,78780,80030,81670,80800,80020,74840,75860,83290,77030,78950,75780
Washington,89430,94510,91710,93910,92150,84360,88930,84360,81400,71450,78420,73740,77220,71950,73290,79890,74610,79330,76660,73010,74050,72230,70130,66770,68330
West Virginia,52460,50500,58580,61170,58460,55370,53520,53220,51840,47840,52840,49370,54080,52930,55820,53560,50060,57490,53820,52540,49500,49810,45570,46630,47260
Wisconsin,73330,75420,75980,76720,72390,74850,74820,71770,67090,70250,63460,67790,65910,65890,65710,67780,67460,70040,72410,64360,67830,70350,71250,71260,72450
Wyoming,73090,76620,73780,74190,72290,70200,68200,69390,73750,67360,82740,68330,71410,68990,68120,69410,70270,66580,65900,64460,67340,64700,61720,62420,63680
